entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Cephalopoda,class,cooperation_propensity,0.3.1,0.4.0,0.452807,0.525376,0.072569,0.160265
taxon,Cephalopoda,class,inequity_sensitivity,0.3.1,0.4.0,0.54395,0.596806,0.052856,0.097171
taxon,Cephalopoda,class,punishment_propensity,0.3.1,0.4.0,0.430284,0.509885,0.079601,0.184996
taxon,Cephalopoda,class,tokenization_capacity,0.3.1,0.4.0,0.63036,0.614549,0.015811,0.025082
taxon,Cephalopoda,class,risk_preference,0.4.0,0.5.0,1.060762,1.14145,0.080688,0.076066
taxon,Cephalopoda,class,temporal_discount_rate,0.4.0,0.5.0,0.595608,0.53068,0.064928,0.109011
taxon,Cephalopoda,class,effort_price_elasticity,0.4.0,0.5.0,-1.32595,-1.401585,0.075635,0.057042
taxon,Cephalopoda,class,cooperation_propensity,0.4.0,0.5.0,0.525376,0.418315,0.107061,0.20378
taxon,Cephalopoda,class,inequity_sensitivity,0.4.0,0.5.0,0.596806,0.522812,0.073994,0.123983
taxon,Cephalopoda,class,punishment_propensity,0.4.0,0.5.0,0.509885,0.408859,0.101026,0.198135
taxon,Cephalopoda,class,tokenization_capacity,0.4.0,0.5.0,0.614549,0.629489,0.01494,0.024311
taxon,Insecta,class,risk_preference,0.3.0,0.3.1,0.969755,0.969755,0.0,0.0
taxon,Insecta,class,temporal_discount_rate,0.3.0,0.3.1,0.734822,0.734822,0.0,0.0
taxon,Insecta,class,effort_price_elasticity,0.3.0,0.3.1,-0.681634,-0.681634,0.0,0.0
taxon,Insecta,class,cooperation_propensity,0.3.0,0.3.1,0.726161,0.726161,0.0,0.0
taxon,Insecta,class,inequity_sensitivity,0.3.0,0.3.1,0.665635,0.665635,0.0,0.0
taxon,Insecta,class,punishment_propensity,0.3.0,0.3.1,0.587114,0.587114,0.0,0.0
taxon,Insecta,class,tokenization_capacity,0.3.0,0.3.1,0.59356,0.59356,0.0,0.0
